message,attributes,tags,timestamp
Starting Container,"{""level"":""info""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:35.000000000Z
"  File ""/mise/installs/python/3.12.1/lib/python3.12/asyncio/runners.py"", line 118, in run","{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.714836610Z
Traceback (most recent call last):,"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.714944748Z
"  File ""/app/.venv/bin/uvicorn"", line 8, in <module>","{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.714958284Z
    sys.exit(main()),"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.714966193Z
             ^^^^^^,"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.714973421Z
"  File ""/app/.venv/lib/python3.12/site-packages/click/core.py"", line 1485, in __call__","{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.714981726Z
"    return self.main(*args, **kwargs)","{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.714988594Z
           ^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.714995864Z
"  File ""/app/.venv/lib/python3.12/site-packages/click/core.py"", line 1406, in main","{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715003307Z
